Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy
22500,,250,5,apartamentowiec,,drewniane,miejskie,,52.2349979,20.9923713,,,inne,
6500,,92,3,apartamentowiec,3,,,,52.1469533,21.2426086,,6,,2005
7000,,83,3,apartamentowiec,7,drewniane,,,52.2407105,21.0258064,,7,,2006
11000,,178,5,apartamentowiec,3,drewniane,,,52.2009348,21.0389299,,6,,2007
5500,,68,3,apartamentowiec,8,drewniane,miejskie,,52.191338,21.0205633,,9,cegła,2016
12500,,100,4,apartamentowiec,5,drewniane,miejskie,,52.2349979,20.9923713,,14,cegła,2019
7000,,92,3,apartamentowiec,5,drewniane,,,52.2342368,21.0164787,,7,,2009
7800,,148,4,apartamentowiec,> 10,plastikowe,miejskie,,52.257769,20.9945254,,12,inne,2002
7900,,131,4,apartamentowiec,3,drewniane,miejskie,,52.2146862,21.0463924,,5,cegła,2003
8000,,80,4,apartamentowiec,2,drewniane,miejskie,,52.2407105,21.0258064,,6,cegła,2011
7500,7500,95,3,kamienica,2,drewniane,miejskie,do zamieszkania,52.2324848,21.0154872,,5,cegła,
2600,2600,40,2,blok,6,plastikowe,miejskie,do zamieszkania,52.2308245,20.9964303,1,11,wielka płyta,1970
9000,10000,153,5,apartamentowiec,1,drewniane,miejskie,,52.1943982,20.9870497,,,cegła,2010
6900,,101,3,apartamentowiec,2,drewniane,miejskie,,52.2522691,21.0033035,,4,inne,2009
14500,,243,6,apartamentowiec,10,drewniane,miejskie,,52.2349979,20.9923713,,10,cegła,2004
2100,2100,33,2,blok,3,,miejskie,do zamieszkania,52.25187321237169,21.04533585291748,500,8,,2019
2400,2400,38,2,blok,2,plastikowe,miejskie,do zamieszkania,52.29063619316574,21.031439879406737,1,,pustak,
2599,2999,45,2,apartamentowiec,2,plastikowe,miejskie,do zamieszkania,52.235141283291426,20.959203592224124,395,10,,2012
2500,2500,46,2,blok,4,plastikowe,miejskie,do zamieszkania,52.23656515346582,21.08530305465576,,9,żelbet,2016
6500,,128,4,apartamentowiec,6,plastikowe,miejskie,,52.257769,20.9945254,,12,inne,2000
12000,,150,3,kamienica,5,,,do zamieszkania,52.2448229,21.0161556,,5,cegła,2008
5500,,123,4,apartamentowiec,2,,,,52.1986784,21.0100045,,6,cegła,2004
10000,,165,4,apartamentowiec,7,,,,52.1988759,21.0111024,,7,,
