Cena,Kaucja,Powierzchnia,Liczba pokoi,Rodzaj zabudowy,Piętro,Okna,Ogrzewanie,Stan wykończenia,φ,λ,Czynsz - dodatkowo,Liczba pięter,Materiał budynku,Rok budowy,Czas dojazdu do centrum
5800,,80.0,3,apartamentowiec,8,,,,52.2507936,20.986024,,11.0,,2000.0,20.0
6000,,78.84,3,apartamentowiec,> 10,,,,52.2542779,20.993851,,17.0,,2012.0,24.0
3000,,42.0,2,apartamentowiec,1,,,,52.24635,20.904410000000002,,8.0,,2019.0,38.0
4050,,50.0,3,kamienica,3,,,,52.24476525,20.99775728,,3.0,,1950.0,17.0
9000,,160.0,4,apartamentowiec,6,,,,52.19352015,21.01045409,,6.0,,2001.0,30.0
3500,,50.0,2,apartamentowiec,4,,,,52.251776,21.036534600000003,,7.0,,,24.0
4300,,50.0,2,apartamentowiec,6,,,,52.22429635,21.03971738,,7.0,,2010.0,22.0
4400,,61.0,3,apartamentowiec,7,,,,52.19592,21.014029999999998,,7.0,,,23.0
9500,,220.0,6,apartamentowiec,5,,,,52.26883,20.97906,,,,,25.0
9000,,153.0,5,apartamentowiec,1,,,,52.19413170000001,20.98777819,,4.0,,2010.0,36.0
2600,,37.0,2,blok,> 10,,,,52.234627,20.9559496,,15.0,,2019.0,41.0
8000,,155.0,5,apartamentowiec,3,,,,52.20549005,20.99802355,,6.0,,,23.0
10000,,140.0,5,apartamentowiec,parter,,,,52.184401799999996,21.03189257,,2.0,,2011.0,38.0
10000,,100.0,3,apartamentowiec,8,,,,52.233775099999995,20.9853181,,14.0,,2019.0,17.0
4990,,103.0,4,,> 10,,,,52.246666299999994,21.085435,,15.0,,2009.0,35.0
5200,,65.0,2,apartamentowiec,4,,,,52.24223065,21.02653697,,5.0,,,24.0
4100,,54.0,2,apartamentowiec,8,,,,52.2356955,20.976673100000003,,8.0,,2018.0,20.0
10000,,102.0,3,,9,,,,52.237469,21.001720000000002,,11.0,,2010.0,14.45
15000,,145.0,4,apartamentowiec,2,,,,52.2006348,21.0416593,,4.0,,2001.0,31.0
10000,,131.0,4,kamienica,2,,,,52.22475455,21.02055788,,5.0,,1925.0,21.0
2400,2400.0,50.0,2,apartamentowiec,5,plastikowe,miejskie,do zamieszkania,52.2693986,21.051579,520.0,6.0,cegła,2019.0,30.0
1550,1800.0,25.5,1,,parter,plastikowe,miejskie,do zamieszkania,52.244715056309154,21.081538723525995,250.0,4.0,cegła,,24.0
11000,,64.0,2,,> 10,,,,52.231134999999995,21.00246,,52.0,,2017.0,4.116666666666666
7500,7500.0,120.0,4,kamienica,5,drewniane,,,,,,5.0,,1935.0,
9000,9000.0,80.0,2,apartamentowiec,4,,,,52.2416,21.02746,,5.0,,2012.0,21.0
12000,,200.0,4,,1,,,,52.171507,21.08751,,2.0,,2000.0,48.0
10500,,165.0,3,apartamentowiec,1,,,,52.199663,21.0416,,4.0,,2001.0,33.0
4800,,76.44,4,apartamentowiec,7,,,,52.168439,20.99429,,10.0,,2013.0,41.0
2600,,40.0,2,blok,> 10,,miejskie,do zamieszkania,,,,15.0,,,
