Cena,Powierzchnia,Liczba pokoi,Rynek,Rodzaj zabudowy,Piętro,Liczba pięter,Materiał budynku,Okna,Rok budowy,Stan wykończenia,Czynsz,Forma własności,φ,λ,Ogrzewanie,Czas dojazdu do centrum
829000.0,78.0,3,wtórny,apartamentowiec,3,5.0,,,2008.0,do zamieszkania,900 zł,pełna własność,52.255282799999996,20.93238399,miejskie,38.0
1587000.0,84.0,3,wtórny,apartamentowiec,1,9.0,cegła,drewniane,2011.0,do zamieszkania,,pełna własność,52.1881735,20.9946247,miejskie,35.0
620000.0,63.63,3,wtórny,blok,6,10.0,,plastikowe,1978.0,do zamieszkania,,spółdzielcze wł. z KW,52.1583414,21.032837,,33.0
699000.0,63.63,2,wtórny,apartamentowiec,1,4.0,,drewniane,2009.0,do zamieszkania,,pełna własność,52.1615181,21.0794455,miejskie,47.0
1270000.0,63.0,2,wtórny,kamienica,5,7.0,cegła,drewniane,1914.0,do zamieszkania,540 zł,pełna własność,52.236379,21.021447199999997,miejskie,18.0
2284730.0,127.0,4,wtórny,apartamentowiec,5,5.0,,drewniane,2018.0,do zamieszkania,1 200 zł,pełna własność,52.2565321,20.96439483,miejskie,39.0
2420000.0,157.0,5,wtórny,apartamentowiec,4,5.0,,,2016.0,,1 300 zł,pełna własność,52.1887212,21.058435,,40.0
585000.0,43.0,2,wtórny,apartamentowiec,3,10.0,,drewniane,2010.0,do zamieszkania,,pełna własność,52.170321799999996,20.995723100000003,miejskie,40.0
1290000.0,149.0,4,wtórny,blok,2,2.0,,,1994.0,do zamieszkania,,pełna własność,52.16929185,21.04211865,,37.0
1290000.0,149.0,4,wtórny,blok,2,2.0,,,1994.0,do zamieszkania,,,52.1743574,21.0460799,,35.0
744000.0,53.24,2,wtórny,apartamentowiec,2,7.0,cegła,plastikowe,2018.0,do zamieszkania,520 zł,pełna własność,52.17564515,20.99089462,miejskie,38.0
3499000.0,160.0,6,wtórny,apartamentowiec,6,6.0,,drewniane,2007.0,do zamieszkania,,,52.20394275,21.018620000000002,miejskie,31.0
794220.0,75.64,4,wtórny,blok,3,4.0,cegła,drewniane,1995.0,do zamieszkania,600 zł,spółdzielcze wł. z KW,,,miejskie,
